Apple Blackberry + iPhone Blackberry,Apple HTC + Apple Evo + iPhone HTC + iPhone Evo,Blackberry HTC + Blackberry Evo,Blackberry Samsung + Blackberry Galaxy,Apple Samsung + Apple Galaxy + iPhone Samsung + iPhone Galaxy,HTC Samsung + HTC Galaxy + Evo Samsung + Evo Galaxy,date
29.0,28.0,5.0,7.0,49.0,28.000000000000004,2011-10-27
24.0,28.0,3.0,7.0,57.0,30.999999999999996,2011-10-28
28.0,24.0,5.0,7.0,61.0,27.000000000000004,2011-10-29
20.0,28.0,4.0,6.0,54.0,25.0,2011-10-30
22.0,24.0,3.0,5.0,47.0,38.0,2011-10-31
22.0,24.0,3.0,6.0,40.0,29.999999999999996,2011-11-01
21.0,25.0,4.0,7.0,49.0,43.0,2011-11-02
19.0,26.0,4.0,7.0,40.0,30.999999999999996,2011-11-03
25.0,21.0,3.0,5.0,47.0,38.0,2011-11-04
23.0,32.0,5.0,7.0,48.0,36.0,2011-11-05
24.0,34.0,5.0,6.0,52.0,45.0,2011-11-06
20.0,24.0,4.0,5.0,38.0,34.0,2011-11-07
25.0,22.0,5.0,4.0,51.0,35.0,2011-11-08
25.0,25.0,4.0,5.0,45.0,31.999999999999996,2011-11-09
20.0,27.0,3.0,4.0,40.0,29.999999999999996,2011-11-10
24.0,23.0,4.0,5.0,47.0,41.0,2011-11-11
26.0,28.0,2.0,6.0,48.0,31.999999999999996,2011-11-12
23.0,27.0,4.0,7.0,46.0,45.0,2011-11-13
19.0,25.0,3.0,6.0,43.0,36.0,2011-11-14
20.0,25.0,3.0,4.0,37.0,30.999999999999996,2011-11-15
25.0,22.0,3.0,5.0,42.0,31.999999999999996,2011-11-16
20.0,25.0,5.0,9.0,44.0,29.999999999999996,2011-11-17
21.0,24.0,6.0,5.0,44.0,35.0,2011-11-18
29.0,19.0,5.0,7.0,45.0,39.0,2011-11-19
21.0,27.0,3.0,5.0,58.0,36.0,2011-11-20
25.0,24.0,4.0,8.0,54.0,35.0,2011-11-21
24.0,29.0,2.0,6.0,47.0,34.0,2011-11-22
26.0,30.0,2.0,6.0,57.0,44.0,2011-11-23
35.0,33.0,5.0,10.0,87.0,43.0,2011-11-24
33.0,44.0,5.0,14.0,100.0,36.0,2011-11-25
27.0,37.0,6.0,9.0,64.0,42.0,2011-11-26
22.0,24.0,5.0,8.0,58.0,44.0,2011-11-27
27.0,22.0,2.0,8.0,53.0,37.0,2011-11-28
24.0,27.0,4.0,8.0,60.0,30.999999999999996,2011-11-29
24.0,23.0,4.0,6.0,50.0,30.999999999999996,2011-11-30
22.0,30.0,7.0,4.0,51.0,34.0,2011-12-01
22.0,24.0,4.0,5.0,52.0,28.999999999999996,2011-12-02
20.0,26.0,4.0,5.0,59.0,36.0,2011-12-03
22.0,26.0,2.0,8.0,61.0,27.000000000000004,2011-12-04
22.0,23.0,2.0,9.0,52.0,33.0,2011-12-05
18.0,26.0,5.0,5.0,57.0,29.999999999999996,2011-12-06
21.0,23.0,4.0,6.0,55.0,35.0,2011-12-07
21.0,21.0,4.0,4.0,54.0,33.0,2011-12-08
18.0,23.0,3.0,4.0,51.0,29.999999999999996,2011-12-09
19.0,28.0,3.0,5.0,61.0,33.0,2011-12-10
25.0,30.0,3.0,5.0,56.0,33.0,2011-12-11
19.0,25.0,3.0,5.0,54.0,28.000000000000004,2011-12-12
19.0,23.0,5.0,4.0,51.0,28.000000000000004,2011-12-13
17.0,28.0,3.0,10.0,49.0,26.0,2011-12-14
18.0,22.0,3.0,9.0,58.0,38.0,2011-12-15
19.0,20.0,6.0,10.0,64.0,35.0,2011-12-16
23.0,24.0,3.0,8.0,61.0,38.0,2011-12-17
21.0,29.0,4.0,7.0,66.0,42.0,2011-12-18
20.0,33.0,6.0,8.0,64.0,33.0,2011-12-19
21.0,45.0,6.0,8.0,61.0,34.0,2011-12-20
20.0,33.0,3.0,6.0,51.0,29.999999999999996,2011-12-21
18.0,25.0,4.0,7.0,56.0,33.0,2011-12-22
22.0,27.0,4.0,7.0,61.0,30.999999999999996,2011-12-23
30.0,31.0,3.0,6.0,55.0,34.0,2011-12-24
49.0,40.0,4.0,8.0,79.0,34.0,2011-12-25
33.0,36.0,4.0,7.0,86.0,35.0,2011-12-26
25.0,31.0,6.0,6.0,61.0,37.0,2011-12-27
19.0,24.0,4.0,6.0,59.0,29.999999999999996,2011-12-28
23.0,26.0,3.0,9.0,59.0,24.0,2011-12-29
26.0,21.0,1.0,6.0,58.0,23.0,2011-12-30
24.0,26.0,4.0,5.0,56.0,24.0,2011-12-31
19.0,21.0,6.0,5.0,45.0,19.0,2012-01-01
23.0,23.0,4.0,8.0,53.0,28.000000000000004,2012-01-02
22.0,19.0,2.0,7.0,49.0,24.0,2012-01-03
19.0,23.0,2.0,5.0,43.0,23.0,2012-01-04
23.0,19.0,2.0,4.0,44.0,24.0,2012-01-05
16.0,22.0,2.0,6.0,43.0,29.999999999999996,2012-01-06
23.0,19.0,1.0,9.0,49.0,26.0,2012-01-07
17.0,25.0,4.0,7.0,52.0,28.000000000000004,2012-01-08
16.0,19.0,1.0,5.0,49.0,28.000000000000004,2012-01-09
18.0,19.0,3.0,4.0,45.0,23.0,2012-01-10
19.0,20.0,2.0,6.0,41.0,30.999999999999996,2012-01-11
19.0,20.0,3.0,6.0,41.0,28.999999999999996,2012-01-12
23.0,19.0,4.0,4.0,39.0,21.0,2012-01-13
24.0,21.0,3.0,5.0,61.0,24.0,2012-01-14
22.0,25.0,3.0,3.0,54.0,24.0,2012-01-15
23.0,23.0,1.0,5.0,45.0,28.000000000000004,2012-01-16
18.0,17.0,4.0,5.0,48.0,18.0,2012-01-17
17.0,18.0,1.0,2.0,38.0,21.0,2012-01-18
21.0,17.0,3.0,4.0,39.0,27.000000000000004,2012-01-19
19.0,21.0,3.0,6.0,48.0,23.0,2012-01-20
16.0,25.0,4.0,4.0,42.0,28.000000000000004,2012-01-21
20.0,23.0,4.0,4.0,42.0,22.0,2012-01-22
